feedback_date,url,title,category,keywords,score_ag,reward
2026-04-23 08:12,https://www.bosa.co.kr/news/articleView.html?idxno=3002993,의약품유통업계 2025년 매출 7.6% 성장한 34조 돌파 - 의학신문,Distribution,DKSH,10,1
2026-04-23 08:12,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202604131620281400104467,"[더벨][그룹의변신 Before&After] '외형 30조' 성과 제일제당, 담합 변수...",Distribution,CJ,10,1
2026-04-23 08:12,https://www.dailypharm.com/user/news/337544?REFERER=NP,"[데일리팜]""콜드체인은 품질 인프라""...템프체인 글로벌 공략 속도",Distribution,DHL,10,1
2026-04-23 08:12,https://www.apsk.co.kr/news/articleView.html?idxno=539164,"""유비스트보다 빠르다""…비알피커넥트,약국 사입 데이터로 제약계 '존재감' 부각 - 메디팜스투데이",Distribution,블루엠텍,10,1
2026-04-23 08:12,https://new.dailypharm.com/user/news/337457?REFERER=NP,[데일리팜]비만·코로나약 매출에 희비 교차…다국적사 실적 판도 격변,Distribution,DKSH,10,1
2026-04-23 08:13,https://www.dt.co.kr/article/12057636?ref=naver,제약업계 R&D 조직 개편 움직임…수장교체·인재 영입 확대,Client,얀센,10,1
2026-04-23 08:13,https://www.huffingtonpost.kr/article/256635,"정맥주사에서 피하주사로, 주사제에서 경구용으로 : 바이오의약품 제형이 달라진다",Client,머크,10,1
2026-04-23 08:14,https://www.joongang.co.kr/article/25420584,[단독] 마운자로 처방 1128% 폭증…정상체중도 ‘성지’ 찾는다 | 중앙일보,Client,품귀,10,1
2026-04-23 08:14,https://mdtoday.co.kr/news/view/1065588930240253,"식약처, 위고비·마운자로 등 GLP-1 비만치료제 ‘오남용우려의약품’ 지정 추진",Client,마운자로,10,1
2026-04-23 08:14,https://news.bizwatch.co.kr/article/healthcare/2026/04/15/0034,"릴리·노보, 비만치료제 열풍에 국내 매출 '수직 상승'",Client,노보노디스크,10,1
2026-04-23 08:14,http://www.newsprime.co.kr/news/article.html?no=730492,비만약 '오남용 우려' 지정 추진…업계 긴장 고조,Client,위고비,10,1
2026-04-23 08:14,https://www.medicopharma.co.kr/news/articleView.html?idxno=67791,"다이이찌산쿄, 일반의약품 사업 분리...산토리에 2.3조 매각",Client,사노피,10,1
2026-04-24 08:34,https://www.bloter.net/news/articleView.html?idxno=660283,[지오영 MBK 매각 명암]① 지오영 몸값 2조원 ‘플러스 알파’ 기대감,Distribution,지오영,10,1
2026-04-24 08:34,https://www.apsk.co.kr/news/articleView.html?idxno=539164,"""유비스트보다 빠르다""…비알피커넥트,약국 유통 데이터로 제약계 '존재감' 부각 - 메디팜스투데이",Distribution,블루엠텍,10,1
2026-04-24 08:34,http://www.finomy.com/news/articleView.html?idxno=253458,"의약품유통협회 ""유통갑질' VS 대웅제약 ""책임형 파트너""···거점도매 '갑론을박'",Distribution,콜드체인,10,1
2026-04-24 08:34,https://www.medipana.com/news/articleView.html?idxno=410127,"의약품유통업체 지급수수료, 지난해 업체 평균 49억원 - 메디파나뉴스",Distribution,DKSH,10,1
2026-04-24 08:34,https://www.medipana.com/news/articleView.html?idxno=409919,의약품유통업체 조마진율 6.87%…저마진 구조 8년째 지속 - 메디파나뉴스,Distribution,DKSH,10,1
2026-04-24 08:34,http://www.inews24.com/view/1960961,"물류업계, 바이오·신선식품 '콜드체인' 고도화 나서",Distribution,DHL,10,1
2026-04-24 08:34,https://www.news1.kr/bio/pharmaceutical-bio/6146975,위고비·마운자로가 키운 비만치료제 시장…K-바이오 추격 속도,Client,출시,10,1
2026-04-24 08:34,http://www.bizwnews.com/news/articleView.html?idxno=134565,국내 제약사 'GLP-1 비만약' 개발 경쟁 가속,Client,마운자로,10,1
2026-04-24 08:35,https://www.chosun.com/national/welfare-medical/2026/04/22/FXUWB5JYNBBQJOVXXQTJIWK6IM/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,"위고비·마운자로, ‘오남용 우려 의약품’ 지정 추진…식약처, 고시 개정 잰걸음",Client,마운자로,10,1
2026-04-24 08:35,https://www.hitnews.co.kr/news/articleView.html?idxno=75634,작년 중소제약사 웃지 못했다... 그러나 '101위 기업까지 1000억 매출',Client,아스텔라스,10,1
2026-04-24 08:35,http://www.medisobizanews.com/news/articleView.html?idxno=137452,"1분기 항암제 20개 허가 러시 … 보령 5개 품목, ‘종갓집 위엄’",Client,메나리니,10,1
2026-04-24 08:35,https://www.pointdaily.co.kr/news/articleView.html?idxno=302398,"녹십자·종근당 '방긋', 유한·한미·대웅 '실망'…1분기 희비 이유는",Client,MSD,10,1
2026-04-24 08:36,https://www.yakup.com/news/index.html?mode=view&cat=12&nid=326105,"[약업신문]다이이산쿄, OTC 사업 매각…항암 중심 전환",Client,헤일리온,10,1
2026-04-24 08:36,https://www.biotimes.co.kr/news/articleView.html?idxno=31282,"AI 신약개발·재생의료, 글로벌 경쟁축 부상…BIO KOREA ‘빅딜 기대감’ - 바이오타임즈",Client,암젠,10,1
2026-04-24 08:37,https://www.hitnews.co.kr/news/articleView.html?idxno=75636,커지는 소문 'CSO 수수료 상한제'… 비혁신 중소제약 '우려',BD,판촉영업자,10,1
2026-04-24 11:20,https://www.bloter.net/news/articleView.html?idxno=660283,[지오영 MBK 매각 명암]① 지오영 몸값 2조원 ‘플러스 알파’ 기대감,Distribution,지오영,10,1
2026-04-24 11:20,https://www.news1.kr/bio/pharmaceutical-bio/6146975,위고비·마운자로가 키운 비만치료제 시장…K-바이오 추격 속도,Client,출시,10,1
2026-04-24 11:20,http://www.bizwnews.com/news/articleView.html?idxno=134685,머크·구글 클라우드 10년 협력 체결…AI로 신약 개발 혁신 가속,Client,머크,10,1
2026-04-24 11:21,https://www.hitnews.co.kr/news/articleView.html?idxno=75636,커지는 소문 'CSO 수수료 상한제'… 비혁신 중소제약 '우려',BD,판촉영업자,10,1
2026-05-06 14:47,https://www.geconomy.co.kr/news/article.html?no=319991,"[G.ECONOMY(지이코노미)] 바이오플러스, 블루엠텍과 손잡고 에스테틱 영업 '디지털 전환' 본격화",Distribution,블루엠텍,10,1
2026-05-06 14:47,http://www.edaily.co.kr/news/newspath.asp?newsid=03854006645421368,"바이오플러스, 블루엠텍과 HA필러·스킨부스터 공급 계약",Distribution,블루엠텍,10,1
2026-05-06 14:47,https://www.businesspost.co.kr/BP?command=article_view&num=436838,"종근당 1분기 영업이익 176억 36.9% 증가, 신규 도입 품목 확대 전략 주...",Client,노보노디스크,10,1
2026-05-06 14:47,https://www.bosa.co.kr/news/articleView.html?idxno=3003903,"애브비 “글로벌 빅파마와 협업, 싸인 이후의 소통부터 시작” - 의학신문",Client,애브비,10,1
2026-05-06 14:47,https://sateconomy.co.kr/news/view/1065604947286446,"종근당, 1분기 영업익 37%↑… 위고비·신규 품목 효과로 실적 개선",BD,공동판매,10,1
2026-05-06 14:47,http://www.fnnews.com/news/202604301611058157,"한미약품 1Q 매출 4000억 육박 ""R&D로 성장동력 강화""",BD,베링거인겔하임,10,1
